,CDF,CDF,CDF,CDF
,WSV,WDV,ATM,BAM10
Date,,,,
01-Jan-2016 00:00,3.5,97,4.8,27
01-Jan-2016 01:00,2.5,100,2.8,30
01-Jan-2016 02:00,3.8,91,2.8,27
01-Jan-2016 03:00,2.5,87,2,22
01-Jan-2016 04:00,2,80,0.7,19
01-Jan-2016 05:00,3.4,92,1.1,14
01-Jan-2016 06:00,2.1,79,1.7,14
01-Jan-2016 07:00,1.6,83,1,17
01-Jan-2016 08:00,2.2,121,4.1,26
01-Jan-2016 09:00,3.1,121,9.4,13
01-Jan-2016 10:00,2.3,114,12.9,12
01-Jan-2016 11:00,3,238,14,11
01-Jan-2016 12:00,6.6,258,14.3,36
01-Jan-2016 13:00,5.7,234,14.1,26
01-Jan-2016 14:00,3.5,280,14.4,45
01-Jan-2016 15:00,3,307,12.9,50
01-Jan-2016 16:00,1.5,346,12.1,22
01-Jan-2016 17:00,1,39,10.9,17
01-Jan-2016 18:00,1.5,70,10,38
01-Jan-2016 19:00,1.6,85,8,36
01-Jan-2016 20:00,2.1,78,7,34
01-Jan-2016 21:00,1.9,81,6.5,42
01-Jan-2016 22:00,1.9,63,6.6,36
01-Jan-2016 23:00,1.4,97,6.9,28
02-Jan-2016 00:00,1.5,78,6.6,41
02-Jan-2016 01:00,1.7,86,6.6,34
02-Jan-2016 02:00,2.6,84,6.4,22
02-Jan-2016 03:00,3.4,84,6.2,19
02-Jan-2016 04:00,2.6,89,5.8,21
02-Jan-2016 05:00,2.7,90,4.9,17
02-Jan-2016 06:00,1.7,100,4.2,19
02-Jan-2016 07:00,2.7,97,4.6,28
02-Jan-2016 08:00,3.4,110,6.7,17
02-Jan-2016 09:00,3.4,138,9.6,20
02-Jan-2016 10:00,1.6,94,13,30
02-Jan-2016 11:00,5.7,149,15.7,11
02-Jan-2016 12:00,6.3,149,16.6,18
02-Jan-2016 13:00,5.2,210,16.7,49
02-Jan-2016 14:00,4.6,195,15.7,47
02-Jan-2016 15:00,9.3,208,14.4,17
02-Jan-2016 16:00,7.5,211,13.4,12
02-Jan-2016 17:00,3.5,224,12.5,11
02-Jan-2016 18:00,1,47,11.6,25
02-Jan-2016 19:00,1.5,85,10.9,35
02-Jan-2016 20:00,2,91,10.5,29
02-Jan-2016 21:00,1.6,48,10,32
02-Jan-2016 22:00,2.3,84,9.6,25
02-Jan-2016 23:00,2.2,111,9.6,26
03-Jan-2016 00:00,2.7,86,9,29
03-Jan-2016 01:00,1.7,68,8.7,17
03-Jan-2016 02:00,2.1,61,8,18
03-Jan-2016 03:00,2.9,77,8,17
03-Jan-2016 04:00,3.2,87,8.3,16
03-Jan-2016 05:00,2.4,77,8.7,13
03-Jan-2016 06:00,1.5,73,8.2,18
03-Jan-2016 07:00,0.2,110,6.1,17
03-Jan-2016 08:00,0.8,134,7.8,19
03-Jan-2016 09:00,0.9,77,11.4,26
03-Jan-2016 10:00,6.5,137,14.6,14
03-Jan-2016 11:00,11.5,149,15.7,21
03-Jan-2016 12:00,12.6,145,16.3,31
03-Jan-2016 13:00,11.3,142,17,41
03-Jan-2016 14:00,9.3,146,16.9,21
03-Jan-2016 15:00,8,136,16.3,32
03-Jan-2016 16:00,6.7,151,15.5,14
