"Method"|"Method.Label"
"008"|"BENDIX 8501-5CA"
"011"|""
"012"|"BECKMAN 866"
"013"|""
"014"|""
"018"|"MSA  202S"
"021"|""
"033"|"HORIBA AQM-10--11--12"
"041"|"MONITOR LABS 8310"
"048"|"HORIBA 300E/300SE"
"050"|"MASS-CO 1 (MASSACHUSETTS)"
"051"|"DASIBI 3003"
"054"|"THERMO ELECTRON 48, 48C, 48i"
"055"|""
"066"|"MONITOR LABS 8830"
"067"|"DASIBI 3008"
"088"|"LEAR SIEGLER MODEL ML 9830"
"093"|"API MODEL 300 GAS FILTER"
"106"|"HORIBA INSTR. MODEL APMA-360"
"108"|"ENVIRONMENT SA MODEL CO11M"
"130"|""
"147"|"Environnement S.A. Model CO12M Co Analyzer"
"158"|"HORIBA INSTR. MODEL APMA-370"
"167"|"DKK-TOA Cork Mode GFC-311E"
"172"|"SIR S.A. Model S-5006"
"174"|"Ecotech Serinus 30"
"554"|"Thermo 48i TLE"
"562"|""
"588"|"Ecotech EC9830T"
"593"|"API Model 300 EU"
"594"|"API Model 300 EU"
"043"|"Pb-TSP/AA (Alt. Extr)"
"044"|"Pb-TSP/FLAMELESS-AA (EPA)"
"045"|"Pb-TSP/ICAP SPECTRA (EPA)"
"052"|"WAVE LENGTH DISP XRF"
"057"|"ICAP SPECTRA (MONTANA)"
"058"|"ENERGY-DISP XRF"
"059"|"Pb-TSP/FLAMELESS AA"
"068"|"ICAP SPECTRA (RHODE ISLAND)"
"069"|"ICAP SPECTRA (NE & T)"
"070"|"ICAP SPECTRA (S.V.LABS)"
"072"|"Pb-TSP/ENERGY-DISP XREF"
"080"|"ICAP SPECTRA (NEW HAMPSHIRE)"
"085"|"Pb-TSP/ICAP SPECTRA (EPA)"
"086"|"Pb-TSP/ICAP SPECTRA (EPA)"
"094"|"HI-VOL/ICAP SPECT. (ILLINOIS)"
"096"|"HI-VOL ICAP SPECT (WV)"
"107"|"PB-TSP/FLAMELESS AA"
"109"|"HI-VOL/ICAP SPECT."
"110"|"Pb-TSP/ICAP SPECTRA (ICP-MS)"
"113"|"Pb-TSP/ICAP SPECTRA (ICP-OES)"
"140"|"Pb-TSP/ICAP SPECTRA (ICP-AES)"
"189"|"Pb-TSP/ICAP SPECTRA (ICP-MS)"
"191"|"Pb-TSP/ICP SPECTRA (ICP-MS)"
"192"|"Pb-TSP/ICP SPECTRA (ICP-MS)"
"193"|"ICP-MS (ERG)"
"196"|""
"803"|"Pb-TSP/AA (FRM)"
"813"|"Pb-TSP/AA (FRM)"
"202"|"Teflon filters + ICP/MS (ERG)"
"804"|"Andersen RAAS10-100 PM10"
"805"|"Andersen RAAS10-200 PM10"
"806"|"Andersen RAAS10-300 PM10"
"807"|"BGI PQ100 PM10"
"808"|"BGI PQ200 PM10"
"809"|"Thermo/R & P Partisol 2000 PM10 FRM"
"810"|"Thermo/R & P Partisol 2000 PM10 Air Sampler"
"811"|"Thermo/R & P 2025 PM10"
"907"|""
"010"|""
"011"|""
"012"|""
"013"|""
"014"|""
"016"|""
