"Parameter"|"Parameter.Name"
43834|"1,1,1,2,2-Pentafluoroethane"
43837|"1,1,1,2-Tetrachloroethane"
43162|"1,1,1-Trichloro-2,2-bis-(p-chlorophenyl)-ethane"
43818|"1,1,2,2-Tetrachloroethane"
43821|"1,1,2-Trichloro-1,2,2-trifluoroethane"
43820|"1,1,2-Trichloroethane"
17809|"1,1-Biphenyl,-chloro-(TSP)-STP"
43134|"1,1-Bis(4-chlorophenyl)-2,2-dichloroethane"
43813|"1,1-Dichloroethane"
43166|"1,1-Dichloroethenylidene-bis(4-chlorobenzene)"
43826|"1,1-Dichloroethylene"
43854|"1,1-Difluoroethane"
43139|"1,2,3,4,5,6--Hexachlolocyclohexane,-.beta.-"
43138|"1,2,3,4,5,6--Hexachlorocyclohexane"
43140|"1,2,3,4,5,6--Hexachlorocyclohexane,-.delta.-"
16931|"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin"
16928|"1,2,3,4,6,7,8,9-Octachlorodibenzofuran"
16919|"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin-(TSP)-STP"
16926|"1,2,3,4,6,7,8-Heptachlorodibenzofuran-(TSP)-STP"
16927|"1,2,3,4,7,8,9-Heptachlorodibenzofuran-(TSP)-STP"
16930|"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin"
16922|"1,2,3,4,7,8-Hexachlorodibenzofuran-(TSP)-STP"
16917|"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin-(TSP)-STP"
16923|"1,2,3,6,7,8-Hexachlorodibenzofuran-(TSP)-STP"
16918|"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin-(TSP)-STP"
16925|"1,2,3,7,8,9-Hexachlorodibenzofuran-(TSP)-STP"
16929|"1,2,3,7,8-Pentachlorodibenzo-p-dioxin"
16920|"1,2,3,7,8-Pentachlorodibenzofuran-(TSP)-STP"
43604|"1,2,3-Trichloropropane"
45225|"1,2,3-Trimethylbenzene"
16724|"1,2,4,5-Tetrachlorobenzene-(TSP)-STP"
