"Method"|"Method.Label"
"008"|"bendix_8501-5ca"
"011"|""
"012"|"beckman_866"
"013"|""
"014"|""
"018"|"msa__202s"
"021"|""
"033"|"horiba_aqm-10--11--12"
"041"|"monitor_labs_8310"
"048"|"horiba_300e/300se"
"050"|"mass-co_1_(massachusetts)"
"051"|"dasibi_3003"
"054"|"thermo_electron_48,_48c,_48i"
"055"|""
"066"|"monitor_labs_8830"
"067"|"dasibi_3008"
"088"|"lear_siegler_model_ml_9830"
"093"|"api_model_300_gas_filter"
"106"|"horiba_instr._model_apma-360"
"108"|"environment_sa_model_co11m"
"130"|""
"147"|"environnement_s.a._model_co12m_co_analyzer"
"158"|"horiba_instr._model_apma-370"
"167"|"dkk-toa_cork_mode_gfc-311e"
"172"|"sir_s.a._model_s-5006"
"174"|"ecotech_serinus_30"
"554"|"thermo_48i_tle"
"562"|""
"588"|"ecotech_ec9830t"
"593"|"api_model_300_eu"
"594"|"api_model_300_eu"
"043"|"pb-tsp/aa_(alt._extr)"
"044"|"pb-tsp/flameless-aa_(epa)"
"045"|"pb-tsp/icap_spectra_(epa)"
"052"|"wave_length_disp_xrf"
"057"|"icap_spectra_(montana)"
"058"|"energy-disp_xrf"
"059"|"pb-tsp/flameless_aa"
"068"|"icap_spectra_(rhode_island)"
"069"|"icap_spectra_(ne_&_t)"
"070"|"icap_spectra_(s.v.labs)"
"072"|"pb-tsp/energy-disp_xref"
"080"|"icap_spectra_(new_hampshire)"
"085"|"pb-tsp/icap_spectra_(epa)"
"086"|"pb-tsp/icap_spectra_(epa)"
"094"|"hi-vol/icap_spect._(illinois)"
"096"|"hi-vol_icap_spect_(wv)"
"107"|"pb-tsp/flameless_aa"
"109"|"hi-vol/icap_spect."
"110"|"pb-tsp/icap_spectra_(icp-ms)"
"113"|"pb-tsp/icap_spectra_(icp-oes)"
"140"|"pb-tsp/icap_spectra_(icp-aes)"
"189"|"pb-tsp/icap_spectra_(icp-ms)"
"191"|"pb-tsp/icp_spectra_(icp-ms)"
"192"|"pb-tsp/icp_spectra_(icp-ms)"
"193"|"icp-ms_(erg)"
"196"|""
"803"|"pb-tsp/aa_(frm)"
"813"|"pb-tsp/aa_(frm)"
"202"|"teflon_filters_+_icp/ms_(erg)"
"804"|"andersen_raas10-100_pm10"
"805"|"andersen_raas10-200_pm10"
"806"|"andersen_raas10-300_pm10"
"807"|"bgi_pq100_pm10"
"808"|"bgi_pq200_pm10"
"809"|"thermo/r_&_p_partisol_2000_pm10_frm"
"810"|"thermo/r_&_p_partisol_2000_pm10_air_sampler"
"811"|"thermo/r_&_p_2025_pm10"
"907"|""
"010"|""
"011"|""
"012"|""
"013"|""
"014"|""
"016"|""
"021"|"monitor_labs_8440e"
"022"|"bendix_8101-c"
"025"|"csi_1600"
"031"|"meloy_na530r"
"034"|"beckman_952a"
"035"|"thermo_electron_14b/e"
"037"|"thermo_electron_14d/e"
"038"|"bendix_8101-b"
"040"|"philips_pw9762/02"
"042"|"monitor_labs_8840"
"074"|"thermo_environ._inst._model_42"
"075"|""
