"code"|"region"
"01-001"|"AL-Autauga"
"01-003"|"AL-Baldwin"
"01-005"|"AL-Barbour"
"01-007"|"AL-Bibb"
"01-009"|"AL-Blount"
"01-011"|"AL-Bullock"
"01-013"|"AL-Butler"
"01-015"|"AL-Calhoun"
"01-017"|"AL-Chambers"
"01-019"|"AL-Cherokee"
"01-021"|"AL-Chilton"
"01-023"|"AL-Choctaw"
"01-025"|"AL-Clarke"
"01-027"|"AL-Clay"
"01-029"|"AL-Cleburne"
"01-031"|"AL-Coffee"
"01-033"|"AL-Colbert"
"01-035"|"AL-Conecuh"
"01-037"|"AL-Coosa"
"01-039"|"AL-Covington"
"01-041"|"AL-Crenshaw"
"01-043"|"AL-Cullman"
"01-045"|"AL-Dale"
"01-047"|"AL-Dallas"
"01-049"|"AL-DeKalb"
"01-051"|"AL-Elmore"
"01-053"|"AL-Escambia"
"01-055"|"AL-Etowah"
"01-057"|"AL-Fayette"
"01-059"|"AL-Franklin"
"01-061"|"AL-Geneva"
"01-063"|"AL-Greene"
"01-065"|"AL-Hale"
"01-067"|"AL-Henry"
"01-069"|"AL-Houston"
"01-071"|"AL-Jackson"
"01-073"|"AL-Jefferson"
"01-075"|"AL-Lamar"
"01-077"|"AL-Lauderdale"
"01-079"|"AL-Lawrence"
"01-081"|"AL-Lee"
"01-083"|"AL-Limestone"
"01-085"|"AL-Lowndes"
"01-087"|"AL-Macon"
"01-089"|"AL-Madison"
"01-091"|"AL-Marengo"
"01-093"|"AL-Marion"
"01-095"|"AL-Marshall"
"01-097"|"AL-Mobile"
"01-099"|"AL-Monroe"
"01-101"|"AL-Montgomery"
"01-103"|"AL-Morgan"
"01-105"|"AL-Perry"
"01-107"|"AL-Pickens"
"01-109"|"AL-Pike"
"01-111"|"AL-Randolph"
"01-113"|"AL-Russell"
"01-115"|"AL-St._Clair"
"01-117"|"AL-Shelby"
"01-119"|"AL-Sumter"
"01-121"|"AL-Talladega"
"01-123"|"AL-Tallapoosa"
"01-125"|"AL-Tuscaloosa"
"01-127"|"AL-Walker"
"01-129"|"AL-Washington"
"01-131"|"AL-Wilcox"
"01-133"|"AL-Winston"
"02-010"|"AK-ALEUTIAN_ISLANDS"
"02-013"|"AK-Aleutians_East"
"02-016"|"AK-Aleutians_West"
"02-020"|"AK-Anchorage"
"02-050"|"AK-Bethel"
"02-060"|"AK-Bristol_Bay"
"02-068"|"AK-Denali"
"02-070"|"AK-Dillingham"
"02-090"|"AK-Fairbanks_North_Star"
"02-100"|"AK-Haines"
"02-105"|"AK-Hoonah-Angoon"
