"date","ws","wd","pm10","pm25","u","v","year","precip","s.rad","a.temp","rh","dp","s.temp","height","temp850","ws.max","wd.max","u.max","v.max","time","dow","u.s1","v.s1","u.max.s1","v.max.s1"
2014-10-01,1.12490344263744,326.229561925838,58.0434782608696,13,-0.6253,0.9351,2014,0.1,188,20.4041666666667,54.2083333333333,9.55416666666667,19.0541666666667,NA,NA,8.1,296,-7.2802,3.5508,1,"3",-0.645333333333333,1.72909583333333,-7.8976,2.2795
2014-10-02,1.46095591754251,244.398423679094,61.9583333333333,13.4166666666667,-1.317525,-0.6313,2014,0.3,183.708333333333,22.4291666666667,44.3333333333333,8.95416666666667,19.3,5880,19.4,9.4,271,-9.3986,0.1641,2,"4",-0.0140291666666666,-1.47243333333333,-2.8314,-4.8454
2014-10-03,0.868184987540959,260.669412825755,59.3333333333333,13.7083333333333,-0.856695833333333,-0.140766666666667,2014,0.2,189.875,23.2791666666667,32.0416666666667,4.0375,19.125,5930,20.6,9.5,278,-9.4075,1.3221,3,"5",0.638929166666667,-0.714254166666667,2.1189,-3.1652
2014-10-04,1.08546010460886,290.119381891107,69.5416666666667,14.25,-1.019225,0.373370833333333,2014,0,156.333333333333,24.6681818181818,30.5454545454545,5.68636363636364,19.1708333333333,5930,23.2,8.4,275,-8.368,0.7321,4,"6",0.159429166666667,-0.317558333333333,-4.9214,1.8793
2014-10-05,1.7403766736876,281.717518426576,44.3333333333333,13.25,-1.7041125,0.353454166666667,2014,0.6,185.083333333333,22.7291666666667,45.6666666666667,9.64166666666667,19.3333333333333,5890,23.8,7.5,274,-7.4817,0.5232,5,"0",-0.2949875,-0.645208333333333,2.6779,-1.1312
2014-10-06,2.04450418642405,286.652418239127,29,10.625,-1.95875833333333,0.585883333333333,2014,0.7,182.291666666667,16.5916666666667,79.625,12.7291666666667,19.1708333333333,5880,24,6.8,274,-6.7834,0.4743,6,"1",-1.00757083333333,-0.2228625,-3.2942,0.9446
2014-10-07,2.60931355836602,280.518869261663,19.875,11.5416666666667,-2.56545789473684,0.476347368421053,2014,0.8,178.25,12.775,92.0416666666667,11.4291666666667,19.1375,5840,22.8,6.9,275,-6.8737,0.6014,7,"2",-0.878533333333333,-0.130729166666667,-3.8054,-0.1395
2014-10-08,2.19493830781228,265.13356631363,18.9583333333333,12.25,-2.187025,-0.1862,2014,0.1,174.666666666667,11.5833333333333,92.875,10.4208333333333,19.1416666666667,5810,22.4,7.4,250,-6.9537,-2.5309,8,"3",-0.8977875,-0.0293083333333333,-5.6902,1.0033
2014-10-09,2.31461405979677,268.701779888778,14.1666666666667,7.20833333333333,-2.31402857142857,-0.0524333333333333,2014,0.7,124.458333333333,9.37916666666667,93.875,8.4,19.2375,5810,19.8,7.6,261,-7.5064,-1.1889,9,"4",-0.8351625,-0.177470833333333,-4.2164,-0.3392
2014-10-10,2.93137050950687,294.691695259678,34.9166666666667,12.7916666666667,-2.66335,1.2245375,2014,0,171.875,10.9708333333333,88.5,9.02083333333333,19.2375,5840,18,10.6,287,-10.1368,3.0991,10,"5",-1.70690833333333,1.32885833333333,-8.4874,2.6111
