"date","ws.cdf","wd.cdf","pm10.cdf","pm10.oso","wd.s1","ws.s1","year"
2011-01-01 00:00:00,5.1,91,12,NA,NA,NA,NA
2011-01-01 01:00:00,4.8,87,12,NA,NA,NA,NA
2011-01-01 02:00:00,4.3,95,11,NA,NA,NA,NA
2011-01-01 03:00:00,3.7,81,10,NA,NA,NA,NA
2011-01-01 04:00:00,4.4,97,10,NA,NA,NA,NA
2011-01-01 05:00:00,2.3,60,8,NA,NA,NA,NA
2011-01-01 06:00:00,2.1,41,6,NA,NA,NA,NA
2011-01-01 07:00:00,3.1,61,8,NA,NA,NA,NA
2011-01-01 08:00:00,5.9,110,10,NA,NA,NA,NA
2011-01-01 09:00:00,8.7,123,9,NA,NA,NA,NA
2011-01-01 10:00:00,11.5,124,11,NA,NA,NA,NA
2011-01-01 11:00:00,9.7,130,15,NA,NA,NA,NA
2011-01-01 12:00:00,7.4,124,4,NA,NA,NA,NA
2011-01-01 13:00:00,4.5,112,33,NA,NA,NA,NA
2011-01-01 14:00:00,4.1,119,14,NA,NA,NA,NA
2011-01-01 15:00:00,2.2,108,13,NA,NA,NA,NA
2011-01-01 16:00:00,2.8,41,12,NA,NA,NA,NA
2011-01-01 17:00:00,2.5,29,21,NA,NA,NA,NA
2011-01-01 18:00:00,2.1,20,20,NA,NA,NA,NA
2011-01-01 19:00:00,2.5,38,13,NA,NA,NA,NA
2011-01-01 20:00:00,2.2,55,16,NA,NA,NA,NA
2011-01-01 21:00:00,8.4,121,10,NA,NA,NA,NA
2011-01-01 22:00:00,11.1,124,12,NA,NA,NA,NA
2011-01-01 23:00:00,10.9,128,15,NA,NA,NA,NA
2011-01-02 00:00:00,11.4,132,10,NA,NA,NA,NA
2011-01-02 01:00:00,14.1,137,10,NA,NA,NA,NA
2011-01-02 02:00:00,14.2,127,9,NA,NA,NA,NA
2011-01-02 03:00:00,12.3,125,9,NA,NA,NA,NA
2011-01-02 04:00:00,10.4,122,17,NA,NA,NA,NA
2011-01-02 05:00:00,16.1,122,15,NA,NA,NA,NA
2011-01-02 06:00:00,18.4,126,11,NA,NA,NA,NA
2011-01-02 07:00:00,17,122,10,NA,NA,NA,NA
2011-01-02 08:00:00,15,124,6,NA,NA,NA,NA
2011-01-02 09:00:00,14.1,127,4,NA,NA,NA,NA
2011-01-02 10:00:00,11.8,127,6,NA,NA,NA,NA
2011-01-02 11:00:00,10.3,130,5,NA,NA,NA,NA
2011-01-02 12:00:00,9.4,134,3,NA,NA,NA,NA
2011-01-02 13:00:00,10.5,136,3,NA,NA,NA,NA
2011-01-02 14:00:00,11.1,146,2,NA,NA,NA,NA
2011-01-02 15:00:00,6.7,142,4,NA,NA,NA,NA
2011-01-02 16:00:00,8.7,130,3,NA,NA,NA,NA
2011-01-02 17:00:00,6.7,123,3,NA,NA,NA,NA
2011-01-02 18:00:00,4.6,119,6,NA,NA,NA,NA
2011-01-02 19:00:00,6.6,123,3,NA,NA,NA,NA
2011-01-02 20:00:00,7,122,3,NA,NA,NA,NA
2011-01-02 21:00:00,3.5,98,7,NA,NA,NA,NA
2011-01-02 22:00:00,2.8,65,9,NA,NA,NA,NA
2011-01-02 23:00:00,2.6,67,7,NA,NA,NA,NA
2011-01-03 00:00:00,1.9,57,7,NA,NA,NA,NA
2011-01-03 01:00:00,2.3,68,9,NA,NA,NA,NA
2011-01-03 02:00:00,2,41,10,NA,NA,NA,NA
2011-01-03 03:00:00,2.1,42,11,NA,NA,NA,NA
2011-01-03 04:00:00,1.3,34,10,NA,NA,NA,NA
2011-01-03 05:00:00,2.1,18,7,NA,NA,NA,NA
2011-01-03 06:00:00,2.7,78,5,NA,NA,NA,NA
2011-01-03 07:00:00,1.2,184,6,NA,NA,NA,NA
2011-01-03 08:00:00,0.8,71,8,NA,NA,NA,NA
2011-01-03 09:00:00,0.6,3,8,NA,NA,NA,NA
2011-01-03 10:00:00,2.6,292,8,NA,NA,NA,NA
2011-01-03 11:00:00,3.1,221,10,NA,NA,NA,NA
2011-01-03 12:00:00,8,263,23,NA,NA,NA,NA
2011-01-03 13:00:00,9.7,269,13,NA,NA,NA,NA
2011-01-03 14:00:00,7.3,284,13,NA,NA,NA,NA
2011-01-03 15:00:00,6.6,285,12,NA,NA,NA,NA
2011-01-03 16:00:00,4.4,311,15,NA,NA,NA,NA
2011-01-03 17:00:00,1.7,293,21,NA,NA,NA,NA
2011-01-03 18:00:00,1.6,42,25,NA,NA,NA,NA
2011-01-03 19:00:00,1.9,46,36,NA,NA,NA,NA
2011-01-03 20:00:00,1.4,30,24,NA,NA,NA,NA
2011-01-03 21:00:00,1.3,82,23,NA,NA,NA,NA
2011-01-03 22:00:00,3.2,73,21,NA,NA,NA,NA
2011-01-03 23:00:00,1.7,66,21,NA,NA,NA,NA
2011-01-04 00:00:00,1.4,116,13,NA,NA,NA,NA
2011-01-04 01:00:00,1.9,62,17,NA,NA,NA,NA
2011-01-04 02:00:00,1.8,88,11,NA,NA,NA,NA
2011-01-04 03:00:00,2.5,110,10,NA,NA,NA,NA
2011-01-04 04:00:00,3.2,90,9,NA,NA,NA,NA
2011-01-04 05:00:00,3.3,84,8,NA,NA,NA,NA
2011-01-04 06:00:00,3.1,84,9,NA,NA,NA,NA
2011-01-04 07:00:00,2.5,100,16,NA,NA,NA,NA
2011-01-04 08:00:00,2.2,95,18,NA,NA,NA,NA
2011-01-04 09:00:00,2.7,186,8,NA,NA,NA,NA
2011-01-04 10:00:00,5.3,156,10,NA,NA,NA,NA
2011-01-04 11:00:00,2.2,214,9,NA,NA,NA,NA
2011-01-04 12:00:00,6.4,287,24,NA,NA,NA,NA
2011-01-04 13:00:00,7,276,23,NA,NA,NA,NA
2011-01-04 14:00:00,6.7,277,14,NA,NA,NA,NA
2011-01-04 15:00:00,5.8,259,12,NA,NA,NA,NA
2011-01-04 16:00:00,2,269,22,NA,NA,NA,NA
2011-01-04 17:00:00,2.5,58,32,NA,NA,NA,NA
2011-01-04 18:00:00,2,52,26,NA,NA,NA,NA
2011-01-04 19:00:00,2.4,60,34,NA,NA,NA,NA
2011-01-04 20:00:00,3.4,61,18,NA,NA,NA,NA
2011-01-04 21:00:00,2,56,24,NA,NA,NA,NA
2011-01-04 22:00:00,1.6,82,22,NA,NA,NA,NA
2011-01-04 23:00:00,2.2,105,19,NA,NA,NA,NA
2011-01-05 00:00:00,2.8,79,25,NA,NA,NA,NA
2011-01-05 01:00:00,3,113,14,NA,NA,NA,NA
2011-01-05 02:00:00,3.4,96,9,NA,NA,NA,NA
2011-01-05 03:00:00,3.1,103,9,NA,NA,NA,NA
2011-01-05 04:00:00,2.7,100,11,NA,NA,NA,NA
2011-01-05 05:00:00,3.5,103,13,NA,NA,NA,NA
2011-01-05 06:00:00,3.1,116,13,NA,NA,NA,NA
2011-01-05 07:00:00,3.5,101,24,NA,NA,NA,NA
2011-01-05 08:00:00,3.1,96,28,NA,NA,NA,NA
2011-01-05 09:00:00,3.5,110,16,NA,NA,NA,NA
2011-01-05 10:00:00,0.7,271,11,NA,NA,NA,NA
2011-01-05 11:00:00,3,188,15,NA,NA,NA,NA
2011-01-05 12:00:00,1.8,254,13,NA,NA,NA,NA
2011-01-05 13:00:00,5.3,301,42,NA,NA,NA,NA
2011-01-05 14:00:00,4.6,319,35,NA,NA,NA,NA
2011-01-05 15:00:00,4.8,316,32,NA,NA,NA,NA
2011-01-05 16:00:00,3.3,314,27,NA,NA,NA,NA
2011-01-05 17:00:00,0.8,10,36,NA,NA,NA,NA
2011-01-05 18:00:00,2,55,56,NA,NA,NA,NA
2011-01-05 19:00:00,2.1,80,26,NA,NA,NA,NA
2011-01-05 20:00:00,3,66,25,NA,NA,NA,NA
2011-01-05 21:00:00,1.3,50,28,NA,NA,NA,NA
2011-01-05 22:00:00,2.1,70,28,NA,NA,NA,NA
2011-01-05 23:00:00,3.7,80,21,NA,NA,NA,NA
2011-01-06 00:00:00,2.6,83,20,NA,NA,NA,NA
2011-01-06 01:00:00,2.2,83,12,NA,NA,NA,NA
2011-01-06 02:00:00,2,75,12,NA,NA,NA,NA
2011-01-06 03:00:00,1.8,58,11,NA,NA,NA,NA
2011-01-06 04:00:00,2.7,90,12,NA,NA,NA,NA
2011-01-06 05:00:00,2.4,69,12,NA,NA,NA,NA
2011-01-06 06:00:00,2.2,62,15,NA,NA,NA,NA
2011-01-06 07:00:00,2.2,78,21,NA,NA,NA,NA
2011-01-06 08:00:00,1.3,84,34,NA,NA,NA,NA
2011-01-06 09:00:00,0.9,221,12,NA,NA,NA,NA
2011-01-06 10:00:00,1.7,146,11,NA,NA,NA,NA
2011-01-06 11:00:00,2.3,181,NA,NA,NA,NA,NA
2011-01-06 12:00:00,3.6,267,28,NA,NA,NA,NA
2011-01-06 13:00:00,4.6,314,44,NA,NA,NA,NA
2011-01-06 14:00:00,3.1,318,30,NA,NA,NA,NA
2011-01-06 15:00:00,1.1,354,26,NA,NA,NA,NA
2011-01-06 16:00:00,0.7,177,28,NA,NA,NA,NA
2011-01-06 17:00:00,2.5,119,27,NA,NA,NA,NA
2011-01-06 18:00:00,2.4,55,32,NA,NA,NA,NA
2011-01-06 19:00:00,0.6,88,25,NA,NA,NA,NA
2011-01-06 20:00:00,2.5,51,28,NA,NA,NA,NA
2011-01-06 21:00:00,1.9,65,27,NA,NA,NA,NA
2011-01-06 22:00:00,3.5,106,23,NA,NA,NA,NA
2011-01-06 23:00:00,0.9,15,17,NA,NA,NA,NA
2011-01-07 00:00:00,1.1,70,17,NA,NA,NA,NA
2011-01-07 01:00:00,3.5,94,13,NA,NA,NA,NA
2011-01-07 02:00:00,2.5,31,9,NA,NA,NA,NA
2011-01-07 03:00:00,1.4,129,8,NA,NA,NA,NA
2011-01-07 04:00:00,2.2,97,10,NA,NA,NA,NA
2011-01-07 05:00:00,1.8,8,10,NA,NA,NA,NA
2011-01-07 06:00:00,1.9,345,10,NA,NA,NA,NA
2011-01-07 07:00:00,2.6,116,16,NA,NA,NA,NA
2011-01-07 08:00:00,2.2,79,40,NA,NA,NA,NA
2011-01-07 09:00:00,3.8,126,16,NA,NA,NA,NA
2011-01-07 10:00:00,4,182,14,NA,NA,NA,NA
2011-01-07 11:00:00,5.3,275,47,NA,NA,NA,NA
2011-01-07 12:00:00,7,292,36,NA,NA,NA,NA
2011-01-07 13:00:00,8.9,290,24,NA,NA,NA,NA
2011-01-07 14:00:00,9,284,27,NA,NA,NA,NA
2011-01-07 15:00:00,8.8,289,42,NA,NA,NA,NA
2011-01-07 16:00:00,7.4,288,132,NA,NA,NA,NA
2011-01-07 17:00:00,2.3,14,80,NA,NA,NA,NA
2011-01-07 18:00:00,1.9,353,80,NA,NA,NA,NA
2011-01-07 19:00:00,1.9,37,37,NA,NA,NA,NA
2011-01-07 20:00:00,2,62,37,NA,NA,NA,NA
2011-01-07 21:00:00,2.8,59,41,NA,NA,NA,NA
2011-01-07 22:00:00,3.3,73,44,NA,NA,NA,NA
2011-01-07 23:00:00,2.1,50,31,NA,NA,NA,NA
2011-01-08 00:00:00,1.2,80,29,NA,NA,NA,NA
2011-01-08 01:00:00,2.2,50,24,NA,NA,NA,NA
2011-01-08 02:00:00,0.6,32,22,NA,NA,NA,NA
2011-01-08 03:00:00,0.9,348,21,NA,NA,NA,NA
2011-01-08 04:00:00,1.4,336,17,NA,NA,NA,NA
2011-01-08 05:00:00,2.5,50,14,NA,NA,NA,NA
2011-01-08 06:00:00,2.5,66,17,NA,NA,NA,NA
2011-01-08 07:00:00,2.4,113,21,NA,NA,NA,NA
2011-01-08 08:00:00,0.8,222,17,NA,NA,NA,NA
2011-01-08 09:00:00,2.5,287,10,NA,NA,NA,NA
2011-01-08 10:00:00,3.3,319,16,NA,NA,NA,NA
2011-01-08 11:00:00,7.5,295,31,NA,NA,NA,NA
2011-01-08 12:00:00,8.3,300,65,NA,NA,NA,NA
2011-01-08 13:00:00,7.9,288,47,NA,NA,NA,NA
2011-01-08 14:00:00,8.4,283,34,NA,NA,NA,NA
2011-01-08 15:00:00,8.3,284,28,NA,NA,NA,NA
2011-01-08 16:00:00,6.5,312,35,NA,NA,NA,NA
2011-01-08 17:00:00,1.7,349,43,NA,NA,NA,NA
2011-01-08 18:00:00,2.3,0,25,NA,NA,NA,NA
2011-01-08 19:00:00,1.9,47,27,NA,NA,NA,NA
2011-01-08 20:00:00,1.9,75,40,NA,NA,NA,NA
2011-01-08 21:00:00,1.9,40,33,NA,NA,NA,NA
2011-01-08 22:00:00,2.1,27,25,NA,NA,NA,NA
2011-01-08 23:00:00,1.7,45,28,NA,NA,NA,NA
2011-01-09 00:00:00,3,94,36,NA,NA,NA,NA
2011-01-09 01:00:00,3.9,92,41,NA,NA,NA,NA
2011-01-09 02:00:00,3.5,69,21,NA,NA,NA,NA
2011-01-09 03:00:00,3,52,17,NA,NA,NA,NA
2011-01-09 04:00:00,1.1,80,11,NA,NA,NA,NA
2011-01-09 05:00:00,2.5,82,12,NA,NA,NA,NA
2011-01-09 06:00:00,2.2,68,12,NA,NA,NA,NA
2011-01-09 07:00:00,2.1,86,17,NA,NA,NA,NA
2011-01-09 08:00:00,1.7,135,10,NA,NA,NA,NA
2011-01-09 09:00:00,1.9,188,10,NA,NA,NA,NA
2011-01-09 10:00:00,4,345,8,NA,NA,NA,NA
2011-01-09 11:00:00,6.5,317,9,NA,NA,NA,NA
